,band_name,fans,formed,origin,split,style,major_country,country2,major_style,active_years,is_split
0,Iron Maiden,4195,1975,United Kingdom,-,"New wave of british heavy,Heavy",United Kingdom,,New wave of british heavy,48,0
1,Opeth,4147,1990,Sweden,-,"Extreme progressive,Progressive rock,Progressive",Sweden,,Extreme progressive,33,0
2,Metallica,3712,1981,USA,-,"Heavy,Bay area thrash",USA,,Heavy,42,0
3,Megadeth,3105,1983,USA,-,"Thrash,Heavy,Hard rock",USA,,Thrash,40,0
4,Amon Amarth,3054,1988,Sweden,-,Melodic death,Sweden,,Melodic death,35,0
5,Slayer,2955,1981,USA,2019,Thrash,USA,,Thrash,38,1
6,Death,2690,1983,USA,2001,"Progressive death,Death,Progressive thrash",USA,,Progressive death,18,1
7,Dream Theater,2329,1985,USA,-,Progressive,USA,,Progressive,38,0
8,Black Sabbath,2307,1968,United Kingdom,-,"Doom,Heavy,Hard rock",United Kingdom,,Doom,55,0
9,Nightwish,2183,1996,Finland,-,"Symphonic power,Gothic,Symphonic",Finland,,Symphonic power,27,0
10,Children Of Bodom,2153,1993,Finland,-,Extreme power,Finland,,Extreme power,30,0
11,Judas Priest,2094,1969,United Kingdom,-,"Heavy,Hard rock",United Kingdom,,Heavy,54,0
12,Blind Guardian,2040,1984,Germany,-,"Power,Speed",Germany,,Power,39,0
13,In Flames,1932,1990,Sweden,-,"Gothenburg,Alternative",Sweden,,Gothenburg,33,0
14,Pantera,1920,1981,USA,2003,"Heavy,Groove thrash,Groove metal",USA,,Heavy,22,1
15,Dark Tranquillity,1898,1989,Sweden,-,Gothenburg,Sweden,,Gothenburg,34,0
16,Agalloch,1881,1995,USA,2016,"Atmospheric black,Neofolk",USA,,Atmospheric black,21,1
17,Ensiferum,1879,1995,Finland,-,Extreme folk,Finland,,Extreme folk,28,0
18,Arch Enemy,1750,1996,Sweden,-,Gothenburg,Sweden,,Gothenburg,27,0
19,Katatonia,1735,1991,Sweden,-,"Blackened doom,Death doom,Alternative rock,Gothic doom",Sweden,,Blackened doom,32,0
20,Behemoth,1721,1991,Poland,-,"Death,Black,Blackened death",Poland,,Death,32,0
21,Dimmu Borgir,1688,1993,Norway,-,"Symphonic black,Black",Norway,,Symphonic black,30,0
22,Kreator,1646,1982,Germany,-,Teutonic thrash,Germany,,Teutonic thrash,41,0
23,Wintersun,1640,2004,Finland,-,Extreme power,Finland,,Extreme power,19,0
24,Insomnium,1547,1997,Finland,-,Melodic death,Finland,,Melodic death,26,0
25,Amorphis,1528,1990,Finland,-,"Death,Melodic death,Folk,Progressive",Finland,,Death,33,0
26,Kamelot,1520,1991,USA,-,Symphonic power,USA,,Symphonic power,32,0
27,Tool,1506,1988,USA,1990,"Progressive,Alternative",USA,,Progressive,2,1
28,Helloween,1501,1978,Germany,-,"Speed,Power",Germany,,Speed,45,0
29,Testament,1500,1983,USA,-,Bay area thrash,USA,,Bay area thrash,40,0
30,Epica,1450,2002,The Netherlands,-,Symphonic,The Netherlands,,Symphonic,21,0
31,Immortal,1436,1990,Norway,-,"Death,Black",Norway,,Death,33,0
32,Lamb Of God,1433,1999,USA,-,Groove thrash,USA,,Groove thrash,24,0
33,Iced Earth,1403,1985,USA,-,"Heavy,Us power",USA,,Heavy,38,0
34,Anathema,1400,1990,United Kingdom,-,"Death doom,Atmospheric rock,Doom",United Kingdom,,Death doom,33,0
35,Symphony X,1343,1994,USA,-,"Progressive,Symphonic power",USA,,Progressive,29,0
36,Eluveitie,1328,2002,Switzerland,-,"Celtic folk,Gothenburg",Switzerland,,Celtic folk,21,0
37,Gojira,1300,1996,France,-,Progressive death,France,,Progressive death,27,0
38,Rammstein,1251,1994,Germany,-,Industrial,Germany,,Industrial,29,0
39,Sonata Arctica,1242,1996,Finland,-,Power,Finland,,Power,27,0
40,Mastodon,1232,1999,USA,-,"Progressive stoner,Progressive sludge",USA,,Progressive stoner,24,0
41,Nile,1189,1993,USA,-,"Brutal death,Technical death",USA,,Brutal death,30,0
42,Sepultura,1185,1984,Brazil,-,"Alternative,Death,Groove thrash,Thrash",Brazil,,Alternative,39,0
