,major_country,bands_counts,fans,population_2020,bands_per_pop,fans_per_pop
0,USA,1125,99468,331002651.0,3.398764319866429e-06,0.0003005051461053102
1,Sweden,472,47512,10099265.0,4.673607435788644e-05,0.00470450077307606
2,Germany,393,29546,83783942.0,4.690636303553251e-06,0.0003526451405210798
3,United Kingdom,345,34292,67886011.0,5.082048494497637e-06,0.0005051408897777187
4,Finland,301,32915,5540720.0,5.4325069666036184e-05,0.005940563681254422
5,France,221,7164,65273511.0,3.3857532192499955e-06,0.00010975355684482792
6,Italy,220,7185,60461826.0,3.638659540318878e-06,0.00011883531271450518
7,Norway,219,22480,5421241.0,4.0396654566731124e-05,0.004146652030411487
8,Canada,163,8900,37742154.0,4.31877841418378e-06,0.000235810600529053
9,The Netherlands,134,8819,17134872.0,7.820309366769708e-06,0.0005146814052652392
10,Australia,132,5956,25499884.0,5.176494136208619e-06,0.00023356968996407983
11,Poland,100,5807,37846611.0,2.6422445063839403e-06,0.0001534351384857154
12,Greece,87,3673,10423054.0,8.346881825614643e-06,0.00035239191891359286
13,Spain,78,1834,46754778.0,1.6682786944256264e-06,3.922593750739229e-05
14,Russia,73,1895,145934462.0,5.002245460020266e-07,1.298528102292932e-05
15,Denmark,70,4253,5792202.0,1.2085213878935852e-05,0.0007342630661016311
16,Belgium,59,1101,11589623.0,5.0907609332935165e-06,9.499877606027392e-05
17,Brazil,58,3096,212559417.0,2.7286488088175366e-07,1.456533915879154e-05
18,Switzerland,52,3875,8654622.0,6.008350220263808e-06,0.00044773763660619725
19,Japan,52,1504,126476461.0,4.111436989053639e-07,1.1891540829878217e-05
20,Romania,49,728,19237691.0,2.547083223241292e-06,3.784237931672777e-05
21,Portugal,44,1888,10196709.0,4.315117750246673e-06,0.00018515777982876632
22,Austria,39,2514,9006398.0,4.330255003165527e-06,0.000279134899434824
23,Czech Republic,34,424,10708981.0,3.1749052500886874e-06,3.959293605992951e-05
24,Ukraine,26,744,43733762.0,5.945063678720344e-07,1.70120283729536e-05
25,Iceland,25,657,341243.0,7.32615760616335e-05,0.0019253142188997284
26,Latvia,24,221,1886198.0,1.272400882622079e-05,0.00011716691460811644
27,Hungary,23,744,9660351.0,2.3808658712297305e-06,7.701583513890955e-05
28,Israel,19,1394,8655535.0,2.1951271642942925e-06,0.00016105301405401284
29,Ireland,19,1382,4937786.0,3.847878381120608e-06,0.00027988252224782524
30,Argentina,18,349,45195774.0,3.982673247281925e-07,7.721960907229955e-06
31,Serbia,17,182,8737371.0,1.9456653494512253e-06,2.0830064329418998e-05
32,Mexico,16,187,128932753.0,1.2409569816600442e-07,1.4503684723151766e-06
33,Iran,16,378,83992949.0,1.9049218048053058e-07,4.5003777638525345e-06
34,Turkey,14,217,84339067.0,1.659966193365644e-07,2.572947599716748e-06
35,Chile,13,544,19116201.0,6.800514390908528e-07,2.845753714349415e-05
36,Estonia,13,235,1326535.0,9.799967584722604e-06,0.00017715326018537015
37,Slovak Republic,12,130,5459642.0,2.197946312230729e-06,2.3811085049166226e-05
38,Bulgaria,12,65,6948445.0,1.7270051068980182e-06,9.354610995697598e-06
39,Lithuania,11,134,2722289.0,4.040717205263658e-06,4.922328231866639e-05
40,New Zealand,11,269,4822233.0,2.2811008924703556e-06,5.5783285461320514e-05
41,Syria,10,138,17500658.0,5.714070865221182e-07,7.885417794005231e-06
42,Croatia,10,83,4105267.0,2.4358951561494052e-06,2.0217929796040064e-05
43,Slovenia,9,215,2078938.0,4.329133432550658e-06,0.00010341818755537683
44,India,8,145,1380004385.0,5.797083028833999e-09,1.0507212989761623e-07
45,Cyprus,7,16,1207359.0,5.797778456946112e-06,1.3252065044448254e-05
46,Belarus,6,32,9449323.0,6.349661240281447e-07,3.3864859948167713e-06
47,Singapore,5,100,5850342.0,8.546508904949489e-07,1.7093017809898976e-05
48,Bosnia and Herzegovina,5,40,3280819.0,1.5240097061130162e-06,1.219207764890413e-05
49,South Africa,5,38,59308690.0,8.43046777799341e-08,6.407155511274991e-07
50,Malta,5,96,441543.0,1.132392541609764e-05,0.00021741936798907468
51,Faroe Islands,5,618,48863.0,0.00010232691402492684,0.012647606573480958
52,Jordan,5,150,10203134.0,4.900455095463806e-07,1.4701365286391417e-05
53,Indonesia,5,103,273523615.0,1.827995728997659e-08,3.7656712017351774e-07
